Issue Id,Parent,Issue Type,Summary,Epic Name,Description,Priority,Story Points,Labels,Labels
1,,Epic,Rules data: verification and completion,Rules data: verification and completion,"Bring the dated rule set from 'transcribed from spec' to 'verified against primary sources', and fill the gaps the engine needs. The foundation (types, 2026 rule set, source registry, effective-date resolver, integrity tests) already exists in src/rules.

Spec reference: §2, §2.8, §6",Highest,,v1,cpf-projection
2,1,Task,Verify 2026 rule set figures against CPF Board sources,,"Open every page in the §6 source table and confirm each figure in src/rules/ruleset-2026.ts.

Spec reference: §6

Acceptance criteria:
* Every figure checked against its primary source page
* Any corrected figure updated and noted in the PR
* retrievedOn dates updated in src/rules/sources.ts
* RULE_SET_2026.verified set to true only when every group is confirmed; the Unverified badge then disappears",Highest,3,v1,data
3,1,Task,Add contribution rate bands above age 55,,"The spec states only the 55-and-below contribution band (20% employee / 17% employer). Bands for above 55 to 60, 60 to 65, 65 to 70 and above 70 are missing and must come from the primary source.

Spec reference: §2.2

Acceptance criteria:
* All age bands encoded in contributionRates.bands
* Band integrity test still passes
* Engine guard that blocks projection past 55 is removed once this lands

Notes:
* Do not estimate these figures. Blocks the engine from projecting past 55.",Highest,2,v1,data
4,1,Task,Verify and correct source URLs; split BHS source,,"Source URLs in src/rules/sources.ts are plausible but unchecked. The Basic Healthcare Sum currently cites the retirement sums page.

Spec reference: §3.3 per-figure attribution, §6

Acceptance criteria:
* Every URL opens the page named in its title
* BHS has its own source entry (CPF Board / MOH announcement) and thresholds reference it correctly",High,1,v1,data
5,1,Task,Define escalation assumptions for BHS and retirement sums,,"A 30-year-old reaches 55 in a future year. The FRS is fixed for the cohort in the year they turn 55 and the BHS is revised annually below 65, so a single 2026 figure is wrong for most users. Decide and encode a stated assumption (spec notes roughly 3.5% a year for retirement sums).

Spec reference: §2.5, §2.8

Acceptance criteria:
* Escalation rates stored as dated, sourced parameters, not constants in engine code
* Cohort FRS derived for the year the user turns 55
* BHS fixed at the value in force when the user turns 65
* Assumption shown in the assumptions panel with its basis

Notes:
* Product decision needed: which escalation rate to assume, and how it is worded as an assumption rather than a forecast.",High,3,v1,data
6,1,Task,Collect CPF Board worked examples as test fixtures,,"Success criterion §1.4 requires the engine to reproduce CPF Board's own published worked examples exactly. Gather them before the engine is written so tests drive the implementation.

Spec reference: §1.4, §3.4 Correctness, §5

Acceptance criteria:
* Fixtures for contribution amounts (including OW ceiling cases)
* Fixtures for allocation split, including rounding
* Fixtures for base and extra interest, including the $20,000 OA sub-cap
* Fixture for accrued housing interest
* Each fixture cites the page it came from and is stored under src/engine/__fixtures__",High,3,v1,testing
7,1,Task,Source housing loan parameters missing from the spec,,"The v1 inputs cover property price, OA downpayment share and tenure, but the engine also needs the loan-to-value limits and minimum cash downpayment for HDB and bank loans, and a bank loan interest rate assumption. None of these are in the spec.

Spec reference: §2.6, §3.1

Acceptance criteria:
* LTV and minimum cash downpayment for HDB loan and bank loan sourced and added to the rule set
* Decision recorded on whether the bank loan rate is a user input or a stated assumption
* Decision recorded on whether monthly instalments are paid from OA, cash, or a user-chosen split

Notes:
* Spec gap. Needs a product decision before the housing engine tasks can be finished.",High,2,v1,data
8,,Epic,Projection engine (v1),Projection engine (v1),"A pure, deterministic, monthly-step projection from current age to 65 that reads every parameter from the dated rule set. No side effects, no reading of the current date inside the calculation.

Spec reference: §2, §3.2",Highest,,v1,cpf-projection
9,8,Task,"Define engine input, output and monthly state types",,"Types for projection inputs, per-month state (balances per account, contributions, base interest, extra interest, housing withdrawals, accrued interest, events) and the full projection result.

Spec reference: §3.2

Acceptance criteria:
* Types in src/engine/types.ts
* Every monthly record carries the rule set id it was computed under
* Events (age-55 transition, BHS reached, loan cleared) represented as data",Highest,2,v1,engine
10,8,Task,Implement the monthly time-step loop with effective-date rule resolution,,"Core loop from the current age to 65. Each step resolves its rule set with resolveRuleSet(stepDate). The start date is an explicit input, never Date.now().

Spec reference: §2.8, §3.2

Depends on:
* Define engine input, output and monthly state types

Acceptance criteria:
* Pure function: same inputs always produce identical output
* No access to the clock inside the engine (enforced by test)
* Salary growth applied at a stated, documented point in the year",Highest,3,v1,engine
